BU_ID,BU_Name,Company_ID,Company_Name,Agency_ID,Agency_Name,Division_ID,Division_Name,Region_ID,Region_Name,TimeZone_Name
100105,IgnitionOne Corporate,100102,IgnitionOne Corp,,,,,18,United States,Eastern Standard Time
100107,Netmining LLC,100103,Netmining LLC,,,,,18,United States,Eastern Standard Time
100109,Admin Use Only,100104,Exact Recipes,100101,Test Agency,,,18,United States,Eastern Standard Time
100111,Product Demo Client,100104,Exact Recipes,100101,Test Agency,,,18,United States,Eastern Standard Time
100113,Exact Recipes,100104,Exact Recipes,100101,Test Agency,,,18,United States,Eastern Standard Time
106002,Test Company,106000,Test Company,,,,,18,United States,Eastern Standard Time
106007,Motel 6,106005,Motel 6,,,,,30,Netmining,Eastern Standard Time
106010,Dropbox,106008,Dropbox,,,,,30,Netmining,Eastern Standard Time
106013,QA Test,106011,QA Test,,,,,18,United States,Eastern Standard Time
106014,YOLO!,106011,QA Test,100101,Test Agency,,,18,United States,US Mountain Standard Time
106017,Cirro Energy,106015,Cirro Energy,,,,,30,Netmining,Eastern Standard Time
106021,NRG,106019,NRG,,,,,30,Netmining,Eastern Standard Time
106024,Hughes Net,106022,Hughes Net,,,,,30,Netmining,Eastern Standard Time
106027,Georgia Natural Gas,106025,Georgia Natural Gas,106018,Apex,,,18,United States,Eastern Standard Time
106030,Aria,106028,Aria,,,,,30,Netmining,Pacific Standard Time
106033,Bellagio,106031,Bellagio,,,,,30,Netmining,Pacific Standard Time
106036,Caesars,106034,Caesars,,,,,30,Netmining,Eastern Standard Time
106039,Circus Circus,106037,Circus Circus,,,,,30,Netmining,Eastern Standard Time
106042,Luxor,106040,Luxor,,,,,30,Netmining,Pacific Standard Time
106045,MGM International,106043,MGM International,,,,,30,Netmining,Pacific Standard Time
106048,Vdara,106046,Vdara,,,,,30,Netmining,Eastern Standard Time
106051,DPC Pet Specialties,106049,DPC Pet Specialties,106018,Apex,,,18,United States,Eastern Standard Time
106054,Qantas,106052,Qantas,106018,Apex,,,18,United States,Eastern Standard Time
106057,Vitamix,106055,Vitamix,,,,,30,Netmining,Eastern Standard Time
106060,The Room Place,106058,The Room Place,,,,,30,Netmining,Eastern Standard Time
106063,Dice,106061,Dice,,,,,30,Netmining,Eastern Standard Time
106066,Wingstop,106064,Wingstop,,,,,30,Netmining,Eastern Standard Time
106069,Harry and David,106067,Harry and David,,,,,30,Netmining,Eastern Standard Time
106072,Loan Depot,106070,Loan Depot,,,,,30,Netmining,Eastern Standard Time
106075,Hello Chime,106073,Hello Chime,,,,,30,Netmining,Eastern Standard Time
106078,East Coast Power Gas,106076,East Coast Power Gas,,,,,30,Netmining,Eastern Standard Time
106081,The Container Store,106079,The Container Store,,,,,30,Netmining,Eastern Standard Time
106084,Green Mt Energy,106082,Green Mt Energy,,,,,30,Netmining,Eastern Standard Time
106087,Golden Nugget,106085,Golden Nugget,,,,,30,Netmining,Eastern Standard Time
106090,Philadelphia 76ers,106088,Philadelphia 76ers,,,,,30,Netmining,Eastern Standard Time
106091,Innovation Interactive,100102,IgnitionOne Corp,,,,,18,United States,Eastern Standard Time
106092,IgnitionOne Benelux,100102,IgnitionOne Corp,,,,,18,United States,Romance Standard Time
106093,IgnitionOne France,100102,IgnitionOne Corp,,,,,18,United States,Romance Standard Time
106094,IgnitionOne Germany,100102,IgnitionOne Corp,,,,,18,United States,W. Europe Standard Time
106095,IgnitionOne Poland,100102,IgnitionOne Corp,,,,,18,United States,Central European Standard Time
106096,IgnitionOne UK,100102,IgnitionOne Corp,,,,,18,United States,GMT Standard Time
106099,Academy,106097,Academy,,,,,30,Netmining,Eastern Standard Time
106102,Biltmore,106100,Biltmore,,,,,30,Netmining,Eastern Standard Time
106105,Brawny,106103,Georgia Pacific,106018,Apex,,,18,United States,Eastern Standard Time
106108,Vanity Fair,106106,Vanity Fair,106018,Apex,,,18,United States,Eastern Standard Time
106111,Birchbox,106109,Birchbox,,,,,30,Netmining,Eastern Standard Time
106114,Jaguar AT,106112,Jaguar,,,,,8,Belgium,W. Europe Standard Time
106117,Chase Ink,106115,Chase Ink,106018,Apex,,,18,United States,Eastern Standard Time
106120,Consumer Cellular,106118,Consumer Cellular,,,,,30,Netmining,Eastern Standard Time
106122,5408.001,106011,QA Test,100101,Test Agency,,,18,United States,US Mountain Standard Time
106123,5408.001,106011,QA Test,100101,Test Agency,,,18,United States,US Mountain Standard Time
106124,5408.002,106011,QA Test,100101,Test Agency,106121,QA Test,18,United States,US Mountain Standard Time
106125,5408.002,106011,QA Test,100101,Test Agency,106121,QA Test,18,United States,US Mountain Standard Time
106126,5408.003,106011,QA Test,100101,Test Agency,,,18,United States,Eastern Standard Time
106127,5408.004,100104,Exact Recipes,100101,Test Agency,,,18,United States,Eastern Standard Time
106129,Jaguar LATAM,106112,Jaguar,,,,,8,Belgium,E. South America Standard Time
106130,Jaguar CZ,106112,Jaguar,,,,,8,Belgium,Central Europe Standard Time
106131,Jaguar IT,106112,Jaguar,,,,,8,Belgium,W. Europe Standard Time
106132,Jaguar DE,106112,Jaguar,,,,,8,Belgium,W. Europe Standard Time
106133,Jaguar ES,106112,Jaguar,,,,,8,Belgium,GMT Standard Time
106134,Jaguar PT,106112,Jaguar,,,,,8,Belgium,GMT Standard Time
106135,Jaguar BR,106112,Jaguar,,,,,8,Belgium,E. South America Standard Time
